date,title,artist,rank,ID,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,time_signature,mode
2000-03-11,Candy,Mandy Moore,86.0,spotify:track:2YhE6xeWN0R9RVwEOG9lR1,0.178,0.813,234133.0,0.836,6.63e-05,7.0,0.154,-4.23,0.0881,100.491,4.0,1.0
2000-03-11,Girl On TV,LFO,94.0,spotify:track:4DJwdQDai9DLYBL9TNrEDo,0.131,0.688,247600.0,0.716,0.0,4.0,0.134,-4.001,0.0297,96.043,4.0,0.0
2000-03-11,Guerrilla Radio,Rage Against The Machine,98.0,spotify:track:1wsRitfRRtWyEapl0q22o8,0.0129,0.599,206200.0,0.957,7.06e-05,11.0,0.155,-5.764,0.188,103.68,4.0,1.0
2000-03-11,My Love Is Your Love,Whitney Houston,49.0,spotify:track:1ckU1EhAO0Nr73QYw24SWJ,0.0561,0.77,261573.0,0.475,4.72e-06,7.0,0.0607,-9.512,0.159,82.511,4.0,1.0
2000-03-11,Pop A Top,Alan Jackson,100.0,spotify:track:3KIUKvwteP1HFA5UcvvL11,0.291,0.699,185427.0,0.477,0.0,2.0,0.164,-9.339,0.031,118.382,4.0,1.0
2000-03-11,U Understand,Juvenile,96.0,spotify:track:5V6r4UQ0z7gxkkREnza5Y0,0.0585,0.901,259293.0,0.829,0.0,5.0,0.0498,-4.036,0.146,99.766,4.0,0.0
2000-03-11,What Do You Say,Reba,71.0,spotify:track:5hc4uC9JxovPgPF3xRHUEV,0.141,0.461,209933.0,0.413,0.0,8.0,0.1,-12.555,0.0432,171.186,4.0,1.0
2000-03-18,24/7,Kevon Edmonds,87.0,spotify:track:4rZB2G955dQMcjlb7e3VNB,0.0685,0.696,274267.0,0.627,0.0,4.0,0.0993,-5.629,0.0334,116.047,4.0,1.0
2000-03-18,Get Up,Amel Larrieux,97.0,spotify:track:5YzK2kmIM7cdpRbv0iGaEs,0.31,0.631,244867.0,0.494,1.77e-05,11.0,0.064,-8.335,0.101,88.559,4.0,0.0
2000-03-18,Hanginaround,Counting Crows,66.0,spotify:track:0LWINYMC4s8QTdDSb1B3Q3,0.295,0.503,247333.0,0.785,0.0,0.0,0.744,-6.571,0.0743,91.464,4.0,1.0
